id,role,c_suite,role_classified1,role_classified2,role_classified3,unsure,
1,Accountable Officer,0,,,,,
2,Accounts,0,,,,,
3,Acting CEO,1,pos_CEO,,,,
4,Acting CFO,1,pos_CFO,,,,
5,Acting COO,1,pos_COO,,,,
6,Acting CTO,1,pos_CTO,,,,
7,Acting Chairman,1,,,,,
8,Acting Chief,1,,,,,
9,Acting Chief Accounting Officer,1,pos_CAcc,,,,
10,Acting Chief Administration Officer,1,pos_CAO,,,,
11,Acting Chief Administrative Law Judge,1,,,,,
12,Acting Chief Administrative Officer,1,pos_CAO,,,,
13,Acting Chief Audit Executive,1,pos_CAE,,,,
14,Acting Chief Audit Officer,1,pos_CAE,,,,
15,Acting Chief Auditor,1,pos_CAE,,,,
16,Acting Chief Banking Officer,1,,,,,
17,Acting Chief Business Officer,1,pos_CBus,,,,
18,Acting Chief Business and Wholesale Officer,1,,,,,
19,Acting Chief Commercial Officer,1,pos_CComm,,,,
20,Acting Chief Commercial and Marketing Officer,1,pos_CComm,pos_CMO,,,
21,Acting Chief Communications Officer,1,pos_CCom,,,,
22,Acting Chief Compliance Officer,1,pos_CCO_comp,,,,
23,Acting Chief Compliance Officer and Secretary,1,pos_CCO_comp,,,,
24,Acting Chief Consumer Officer,1,pos_Ccon,,,1,
25,Acting Chief Corporate & Regulatory Officer,1,,,,,
26,Acting Chief Corporate Affairs Officer,1,pos_CGov,,,1,
27,Acting Chief Corporate Banking Officer,1,pos_Cban,,,,
28,Acting Chief Corporate Officer,1,,,,1,
29,Acting Chief Corporate Strategy Officer,1,pos_CStrat,,,,
30,Acting Chief Counsel,1,pos_CLegal,,,,
31,Acting Chief Creative Officer,1,pos_CCreat,,,,
32,Acting Chief Credit Officer,1,pos_CCredit,,,,
33,Acting Chief Customer Officer,1,pos_Ccon,,,,
34,Acting Chief Customer and Marketing Officer,1,pos_Ccon,pos_CMO,,,
35,Acting Chief Design and Construction Officer,1,,,,1,
36,Acting Chief Development Officer,1,,,,1,
37,Acting Chief Digital Banking Officer,1,pos_Cban,,,,
38,Acting Chief Digital Officer,1,pos_Cdig,,,,
39,Acting Chief Digital and Customer Experience Officer,1,pos_Cdig,,,,
40,Acting Chief Diversity Equity & Inclusion Officer,1,pos_CDiv,,,,
41,Acting Chief Diversity Officer,1,pos_CDiv,,,,
42,Acting Chief Economist,0,,,,,
43,Acting Chief Engineering Officer,1,,,,1,
44,Acting Chief Enterprise Business Officer,1,,,,,
45,Acting Chief Executive,1,pos_CEO,,,,
46,Acting Chief Executive & Chief Land Registrar,1,pos_CEO,???,,,
47,Acting Chief Executive and Accounting Officer,1,pos_CEO,pos_CAcc,,,
48,Acting Chief Geologist,0,,,,,
49,Acting Chief Governance Officer,1,pos_CGov,,,,
50,Acting Chief Human Capital Officer,1,pos_CTal,,,,
51,Acting Chief Human Resource Officer,1,pos_CHRO,,,,
52,Acting Chief Human Resources Executive,1,pos_CHRO,,,,
53,Acting Chief Human Resources Officer,1,pos_CHRO,,,,
54,Acting Chief Human Resources and General Services Officer,1,pos_CHRO,??,,,
55,Acting Chief Information Officer,1,pos_CIO,,,,
56,Acting Chief Information Security Officer,1,pos_CSO_sec,,,,
57,Acting Chief Internal Audit Officer,1,pos_CAE,,,,
58,Acting Chief Internal Auditor,0,,,,,
59,Acting Chief International Banking Officer,1,pos_Cban,,,,
60,Acting Chief Investment Banking Officer,1,pos_Cban,,,,
61,Acting Chief Investment Officer,1,pos_CInvest,,,,
62,Acting Chief Legal Counsel,0,,,,,
63,Acting Chief Legal Officer,1,pos_CLegal,,,,
64,Acting Chief Lending Officer,1,pos_CCredit,,,,
65,Acting Chief Maintenance Officer,1,,,,1,
66,Acting Chief Manufacturing Officer,1,,,,1,
67,Acting Chief Marketing,1,pos_CMO,,,,
68,Acting Chief Marketing Officer,1,pos_CMO,,,,
69,Acting Chief Marketing officer,1,pos_CMO,,,,
70,Acting Chief Medical Officer,1,pos_CMed,,,,
71,Acting Chief Merchandising Officer,1,pos_Cmer,,,,
72,Acting Chief Merchant,0,,,,,
73,Acting Chief Network Engineering Officer,1,,,,1,
74,Acting Chief Nuclear Officer,1,,,,1,
75,Acting Chief Officer,1,,,,1,
76,Acting Chief Operating Officer,1,pos_COO,,,,
77,Acting Chief Operation & Commercial Officer,1,pos_COO,pos_CComm,,,
78,Acting Chief Operations Officer,1,pos_COO,,,,
79,Acting Chief People Officer,1,pos_CHRO,,,,
80,Acting Chief Placement Officer,1,,,,1,
81,Acting Chief Procurement Officer,1,pos_Cmer,,,,
82,Acting Chief Product and Technology Officer,1,pos_CPO,pos_CTO,,,
83,Acting Chief Program Officer,1,pos_Cprog,,,,
84,Acting Chief Purchasing Officer,1,pos_Cmer,,,,
85,Acting Chief Regulatory Officer,1,pos_CCO_comp,,,,
86,Acting Chief Retail Banking Officer,1,pos_Cban,,,,
