id,role,c_suite,role_classified1,role_classified2,role_classified3,unsure
1,Accountable Officer,0,,,,
2,Accounts,0,,,,
3,Acting CEO,1,pos_CEO,,,
4,Acting CFO,1,pos_CFO,,,
5,Acting COO,1,pos_COO,,,
6,Acting CTO,1,pos_CTO,,,
7,Acting Chairman,1,,,,
8,Acting Chief,1,,,,
9,Acting Chief Accounting Officer,1,pos_CAcc,,,
10,Acting Chief Administration Officer,1,pos_CAO,,,
11,Acting Chief Administrative Law Judge,1,,,,
12,Acting Chief Administrative Officer,1,pos_CAO,,,
13,Acting Chief Audit Executive,1,pos_CAE,,,
14,Acting Chief Audit Officer,1,pos_CAE,,,
15,Acting Chief Auditor,1,pos_CAE,,,
16,Acting Chief Banking Officer,1,,,,
17,Acting Chief Business Officer,1,pos_CBus,,,
18,Acting Chief Business and Wholesale Officer,1,pos_CBus,,,
19,Acting Chief Commercial Officer,1,pos_CComm,,,
20,Acting Chief Commercial and Marketing Officer,1,pos_CComm,pos_CMO,,
3500,Chief Public Affairs Officer,1,,,,
3501,Chief Public Affairs and Communications Officer,1,,,,
3502,Chief Public Information Officer,1,pos_CIO,,,
3503,Chief Public Officer,1,,,,
3504,Chief Public Policy Officer,1,,,,
3505,Chief Public Policy and Regulatory Officer,1,,,,
3506,Chief Public Relation Officer,1,,,,
3507,Chief Public Relations Officer,1,,,,
3508,Chief Public Relations officer,1,,,,
3509,Chief Public Strategy Officer,1,pos_CStrat,,,
3510,Chief Public Strategy and Marketing Officer,1,pos_CStrat,pos_CMO,,
3511,Chief Public and Government Affairs Officer,1,,,,
3512,Chief Publication Solutions Officer,1,,,,
3513,Chief Publications Officer,1,pos_CCO_cont,,,
3514,Chief Publicity Officer,1,,,,
3515,Chief Publishing Officer,1,pos_CCO_cont,,,
3516,Chief Publishing and Solutions Officer,1,pos_CCO_cont,,,
3517,Chief Purchase Officer,1,,,,
3518,Chief Purchase and Operations Global Officer,1,pos_COO,,,
3519,Chief Purchasing Manager,1,,,,
3520,Chief Purchasing Officer,1,,,,
3521,Chief Purchasing Supply Chain and Transformation Officer,1,,,,
3522,Chief Purchasing and Supply Chain Officer,1,,,,
3523,Chief Purpose Officer,1,,,,
3524,Chief Purpose and Transformation Officer,1,,,,
3525,Chief Qualitative Risk Officer,1,pos_CRisk,,,
3526,Chief Quality & Assurance Officer,1,,,,
3527,Chief Quality & Compliance Officer,1,pos_CCO_comp,,,
3528,Chief Quality & Customer Care Officer,1,,,,
3529,Chief Quality & Operations Officer,1,pos_COO,,,
3530,Chief Quality & Patient Safety Officer,1,,,,
3531,Chief Quality & Personnel Officer,1,pos_CHRO,,,
3532,Chief Quality & Regulatory Affairs Officer,1,,,,
3533,Chief Quality & Regulatory Officer,1,,,,
3534,Chief Quality & Risk Officer,1,pos_CRisk,,,
3535,Chief Quality Assurance Clinical and Regulatory Affairs Officer,1,pos_CCO_comp,,,
3536,Chief Quality Assurance Officer,1,,,,
3537,Chief Quality Controller,0,,,,
3538,Chief Quality Development & Innovation Officer,1,,,,
3539,Chief Quality Management & Nursing Officer,1,,,,
3540,Chief Quality Management Officer,1,,,,
3541,Chief Quality Officer,1,,,,
3542,Chief Quality Officer (Representative Director),1,,,,
3543,Chief Quality Operations Officer,1,pos_COO,,,
3544,Chief Quality Safety and Sustainable Operations Officer,1,pos_CSO_sus,pos_CSO_sus,,
3545,Chief Quality and Compliance Officer,1,pos_CCO_comp,,,
3546,Chief Quality and Patient Safety Officer,1,,,,
3547,Chief Quality and Regulatory Affairs Officer,1,pos_CCO_comp,,,
3548,Chief Quality and Reliability Officer,1,,,,
3549,Chief Quality and Safety Officer,1,,,,
3550,Chief R&D,1,,,,
3551,Chief R&D Officer,1,,,,
3552,Chief R&D and Sustainability Officer,1,pos_CSO_sus,,,
3553,Chief Racing Development Officer,1,,,,
3554,Chief Radio and Commercial Officer,1,pos_CComm,,,
3555,Chief Radiologist,-,,,,1
3556,Chief Rating Officer,1,,,,
3557,Chief Ratings Officer,1,,,,
3558,Chief Readiness Officer,1,,,,
3559,Chief Real Assets Officer,1,,,,
3560,Chief Real Estate & Development Officer,1,,,,
3561,Chief Real Estate Development Officer,1,,,,
3562,Chief Real Estate Financing Officer,1,pos_CFO,,,
3563,Chief Real Estate Officer,1,,,,
3564,Chief Real Estate Operating Officer,1,pos_COO,,,
3565,Chief Real Estate Operations Officer,1,pos_COO,,,
3566,Chief Real Estate Operations and Procurement Officer,1,pos_COO,,,
3567,Chief Real Estate and Development Officer,1,,,,
3568,Chief Real Estate and Facilities Officer,1,,,,
3569,Chief Real Estate and Store Development Officer,1,,,,
3570,Chief Records Officer,1,,,,
3571,Chief Recovery Officer,1,,,,
3572,Chief Recruiting Officer,1,pos_CHRO,,,
3573,Chief Recruiting and Professional Development Officer,1,pos_CHRO,,,
3574,Chief Recruitment & Professional Development Officer,1,pos_CHRO,,,
